"","FC1","FNC9","FNC12","FC11","FNC7","FNC1","FC6","FC2","FNC10","FNC8","FC4","FC12","FC7","FC10","FNC3","FC3","FNC6","FC5","FNC11","FC9","FNC5","FNC2","FNC4","FC8","taxonomy"
"3292",0,0,2,3,8,0,2,12,9,0,0,1,2,3,2,3,0,5,3,2,0,0,7,0,"k__Bacteria;p__Actinobacteria;c__Acidimicrobiia;o__Acidimicrobiales;"
"3293",0,0,1,0,0,0,0,3,3,0,0,0,0,0,0,0,3,0,0,0,0,1,4,0,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadales Incertae Sedis;g__Acidibacter;"
"3294",0,0,0,0,5,0,0,0,8,6,7,0,0,0,0,8,4,4,8,9,0,0,6,0,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"3295",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Asticcacaulis;"
"3296",0,3,0,0,22,0,0,9,22,16,4,0,4,0,3,0,6,11,5,4,23,0,9,0,"k__Bacteria;p__Acidobacteria;c__Subgroup 2;o__Subgroup 2CL;f__Subgroup 2CL;g__Subgroup 2CL;"
"3297",0,8,59,0,24,6,6,0,13,6,11,0,0,0,11,2,0,0,0,0,1,0,0,1,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;"
"3298",0,3,0,1,2,0,1,2,0,0,1,0,0,3,0,4,0,10,4,4,0,0,1,0,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__HTA4;f__HTA4OR;g__HTA4OR;"
"3299",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,"k__Bacteria;p__Bacteroidetes;c__Bacteroidetes VC2.1 Bac22;o__Bacteroidetes VC2.1 Bac22CL;f__Bacteroidetes VC2.1 Bac22CL;g__Bacteroidetes VC2.1 Bac22CL;"
"3300",0,3,5,0,3,0,4,8,3,4,5,10,2,4,12,3,4,2,2,7,2,5,7,0,"k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;"
"3301",0,0,0,0,0,0,0,7,8,0,6,0,3,0,0,2,0,2,0,0,1,0,2,8,"k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Pirellula;"
"3302",0,1,2,0,2,0,1,0,6,0,1,0,0,0,1,2,4,1,5,2,2,0,2,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__DA111;g__DA111FA;"
"3303",0,3,5,0,9,2,1,10,4,0,3,2,9,2,1,2,0,3,7,3,0,5,5,1,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__MNG7;g__MNG7FA;"
"3304",0,3,0,0,2,0,0,4,0,2,1,0,2,0,0,5,0,1,2,0,0,0,1,5,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__uncultured-Caulobacteraceae;"
"3305",0,3,0,4,0,2,0,3,8,1,0,0,4,0,7,0,0,0,2,7,0,0,4,1,"k__Bacteria;p__Actinobacteria;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae;g__Gaiella;"
"3306",0,0,0,0,6,0,0,0,13,0,5,0,2,0,0,4,1,19,8,9,9,0,1,0,"k__Bacteria;p__Acidobacteria;c__Subgroup 2;o__Subgroup 2CL;f__Subgroup 2CL;g__Subgroup 2CL;"
"3307",0,0,0,1,0,2,0,0,0,0,12,0,1,2,5,3,0,0,0,0,0,0,0,0,"k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Lysobacter;"
"3308",0,0,5,3,20,3,0,8,17,8,5,0,7,0,17,0,10,0,6,8,10,11,11,0,"k__Bacteria;p__Acidobacteria;c__Acidobacteria;o__Acidobacteriales;f__Acidobacteriaceae (Subgroup 1);g__uncultured-Acidobacteriaceae (Subgroup 1);"
"3309",0,0,1,4,3,3,0,5,9,5,0,0,8,1,5,4,2,3,4,6,4,0,8,4,"k__Bacteria;p__Planctomycetes;c__Planctomycetacia;o__Planctomycetales;f__Planctomycetaceae;g__Isosphaera;"
"3310",0,4,0,0,2,0,0,0,2,5,3,4,0,1,0,0,0,10,0,11,0,0,0,3,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__BCf3-20;g__BCf3-20FA;"
"3311",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,"k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Curtobacterium;"
"3312",0,0,0,0,2,2,0,5,10,0,8,2,3,0,2,2,4,1,6,0,0,4,5,0,"k__Bacteria;p__Verrucomicrobia;c__Spartobacteria;o__Chthoniobacterales;f__Xiphinematobacteraceae;g__Candidatus Xiphinematobacter;"
"3313",0,0,6,0,15,6,0,23,10,24,8,0,13,0,8,0,10,0,7,18,42,0,21,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Variibacter;"
"3314",0,0,0,0,2,0,0,0,0,0,5,0,1,0,0,0,0,9,0,6,1,1,0,0,"k__Bacteria;p__Acidobacteria;c__Subgroup 6;o__Subgroup 6CL;f__Subgroup 6CL;g__Subgroup 6CL;"
"3316",0,0,0,0,0,0,0,0,4,0,4,0,0,6,0,0,0,0,1,0,0,0,0,1,"k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Massilia;"
"3317",0,2,4,0,0,3,0,0,0,4,0,0,0,0,6,0,0,0,1,0,4,1,1,0,"k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Ancalomicrobium;"
